date,date,date,date,date,date,OT
9.25269,12.61194,34.57008,2925.90344,-2.29744,86.87226,54.999999061801
9.25471,12.65159,34.39442,2919.47222,-2.29443,87.2193,54.999999061801
9.25648,12.69116,34.21956,2912.89655,-2.28678,87.574,54.999999061801
9.25801,12.73065,34.04585,2906.17412,-2.27444,87.93647,54.999999061801
9.25929,12.77007,33.87367,2899.30307,-2.25737,88.30679,54.999999061801
9.26031,12.80939,33.70338,2892.28201,-2.23554,88.68503,54.999999061801
9.26106,12.84863,33.53533,2885.11004,-2.20896,89.07123,54.999999061801
9.26156,12.88778,33.36989,2877.78681,-2.17761,89.4654,54.999999061801
9.26178,12.92683,33.2074,2870.31251,-2.14154,89.86753,54.999999061801
9.26174,12.96578,33.04823,2862.68794,-2.10079,90.27758,54.999999061801
9.26141,13.00462,32.8927,2854.9145,-2.05543,90.69549,54.999999061801
9.2608,13.04336,32.74115,2846.99422,-2.00555,91.12116,54.999999061801
9.25991,13.08199,32.5939,2838.92978,-1.95125,91.55447,54.999999061801
9.25874,13.1205,32.45126,2830.72449,-1.89267,91.99525,54.999999061801
9.25727,13.15889,32.31352,2822.38234,-1.82996,92.44332,54.999999061801
9.25551,13.19715,32.18096,2813.90792,-1.7633,92.89846,54.999999061801
9.25345,13.23528,32.05385,2805.30651,-1.69287,93.36042,54.999999061801
9.2511,13.27328,31.93242,2796.58394,-1.6189,93.82891,54.999999061801
9.24859,13.31116,31.82574,2787.71978,-1.29905,93.83699,0
9.24609,13.34892,31.74289,2778.70951,-0.97453,93.84506,0
9.24359,13.38655,31.68398,2769.58421,-0.64728,93.85311,0
9.24109,13.42407,31.64899,2760.37567,-0.31927,93.86114,0
9.2386,13.46146,31.63775,2751.11582,0.00754,93.86915,0
9.23611,13.49873,31.64995,2741.83625,0.33121,93.87715,0
9.23362,13.53587,31.68513,2732.56773,0.64986,93.88513,0
9.23114,13.57287,31.74271,2723.33972,0.96169,93.89309,0
9.22866,13.60975,31.822,2714.18002,1.26505,93.90103,0
9.22618,13.6465,31.92219,2705.11442,1.55837,93.90896,0
9.22371,13.68313,32.04239,2696.16646,1.84028,93.91686,0
9.22124,13.71962,32.1816,2687.35728,2.10954,93.92475,0
9.21878,13.75599,32.33879,2678.70546,2.36508,93.93262,0
9.21631,13.79224,32.51285,2670.22702,2.60602,93.94047,0
9.21386,13.82836,32.70263,2661.93545,2.83164,93.9483,0
9.2114,13.86436,32.90696,2653.84175,3.04137,93.95611,0
9.20895,13.90025,33.12465,2645.95458,3.23482,93.96391,0
9.2065,13.93602,33.35448,2638.28037,3.41173,93.97169,0
9.20405,13.97168,33.59527,2630.82356,3.57199,93.97945,0
9.20161,14.00724,33.84581,2623.58673,3.71561,93.9872,0
9.19917,14.04269,34.10494,2616.57082,3.8427,93.99493,0
9.19673,14.07804,34.3715,2609.77534,3.95347,94.00264,0
9.19429,14.11329,34.64437,2603.19857,4.04822,94.01034,0
9.19185,14.14845,34.92247,2596.8377,4.12732,94.01802,0
9.18942,14.18353,35.20473,2590.68909,4.19118,94.02569,0
9.18699,14.21851,35.49015,2584.74834,4.24028,94.03334,0
9.18455,14.25341,35.77776,2579.01052,4.27512,94.04098,0
9.18212,14.28823,36.06661,2573.47024,4.29624,94.0486,0
9.17969,14.32298,36.35583,2568.12181,4.30418,94.05621,0
9.17726,14.35765,36.64456,2562.95933,4.29951,94.0638,0
9.17484,14.39225,36.93201,2557.97675,4.28279,94.07139,0
9.17241,14.42679,37.2174,2553.16799,4.25459,94.07896,0
9.16998,14.46126,37.50002,2548.52697,4.21546,94.08651,0
9.16755,14.49567,37.77918,2544.04769,4.16597,94.09406,0
9.16512,14.53002,38.05425,2539.72422,4.10666,94.10159,0
9.16269,14.56431,38.32462,2535.55079,4.03804,94.10911,0
9.16026,14.59855,38.58972,2531.52177,3.96064,94.11662,0
